SampleID,X,Y,Pb,Cu,Zn
1,531990.07,4417573.05,40,15,50
2,531952.17,4417602.94,40,10,25
3,531912.72,4417632.48,55,23,30
4,531874.49,4417660.84,35,15,50
5,531836.42,4417690.01,35,18,60
6,531797.89,4417718.65,30,15,55
7,531759.45,4417747.32,30,15,55
8,531720.15,4417776.82,40,5,35
9,531682.5,4417805.05,35,15,70
10,531644.19,4417833.33,35,15,60
11,531604.82,4417863.14,35,23,80
12,531567.59,4417891.03,25,20,75
13,531529.21,4417918.84,25,23,80
14,531491.2,4417948.05,25,20,90
15,531452.16,4417977.63,25,18,90
16,531412.65,4418007.11,105,33,115
17,531373.36,4418035.89,35,20,90
18,531335.04,4418064.76,35,20,90
19,531295.98,4418093.99,40,20,70
20,531257.82,4418122.74,30,23,85
21,531219.89,4418151.7,35,18,75
22,532044.08,4417654.77,50,10,25
23,532006.25,4417684.04,60,8,20
24,531967.18,4417714.09,50,10,15
25,531928.48,4417742.45,45,20,75
26,531890.51,4417771.39,45,13,65
27,531851.87,4417800.15,35,13,65
28,531813.66,4417828.26,35,15,70
29,531774.34,4417858.02,45,10,60
30,531736.78,4417887.08,40,15,75
31,531698.19,4417916.11,35,18,80
32,531659.53,4417945.57,30,20,80
33,531623.32,4417973.38,30,25,90
34,531583.42,4418002.14,25,20,85
35,531545.69,4418030.79,50,40,115
36,531506.54,4418059.86,30,25,85
37,531467.81,4418089.25,55,30,75
38,531428.07,4418119.04,25,23,70
39,531389.54,4418147.72,35,35,80
40,531351.08,4418176.62,40,15,45
41,531312.38,4418205.86,25,28,110
42,531275.08,4418234.28,25,50,125
43,532097.26,4417734.33,40,15,45
44,532059.25,4417763.86,30,8,20
45,532019.26,4417793.77,31,5,10
46,531981,4417821.98,35,13,50
47,531942.77,4417851.05,30,28,75
48,531904.57,4417879.81,40,10,70
49,531866.79,4417908.71,35,15,70
50,531827.6,4417938.06,35,15,75
51,531789.36,4417966.96,35,15,70
52,531751.21,4417996.24,30,25,85
53,531712.92,4418025.11,35,28,90
54,531675.1,4418053.95,35,20,100
55,531637.18,4418082,30,175,115
56,531599.03,4418111.25,30,65,95
57,531559.71,4418140.39,30,350,75
58,531521.34,4418170.17,30,255,60
59,531482.02,4418200.08,50,28,70
60,531444,4418228.42,40,30,95
61,531405.58,4418257.47,20,10,25
62,531366.41,4418286.83,35,38,120
63,531329.2,4418315.7,25,50,120
64,532153.69,4417820.74,40,15,25
65,532115.65,4417849.82,30,8,15
66,532076.39,4417879.6,30,15,45
67,532037.67,4417907.97,30,20,60
68,531998.82,4417936.52,40,18,90
69,531960.66,4417965.42,45,18,85
70,531922.75,4417994.22,40,18,90
71,531883.92,4418023.12,35,18,55
72,531845.52,4418052.41,30,13,55
73,531807.12,4418080.96,70,43,110
74,531768.75,4418109.39,125,80,165
75,531730.25,4418137.99,45,45,125
76,531692.33,4418166.24,65,50,130
77,531654.46,4418194.66,35,20,85
78,531615.44,4418224.51,95,25,70
