"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
1,531013.5791,4419989.11,0.0132693614705474,0.00724921089368762,0,0.039,150,"RF","P90",0.0831089141044258,0,"Below_P90"
2,531038.5791,4419989.11,0.00986907837635353,0.00587951248300317,0,0.02945,150,"RF","P90",0.0831089141044258,0,"Below_P90"
3,531063.5791,4419989.11,0.00838519463996757,0.00521305570100926,0,0.02945,150,"RF","P90",0.0831089141044258,0,"Below_P90"
4,531088.5791,4419989.11,0.00718339063220075,0.00441745696960955,0,0.0235026335875953,150,"RF","P90",0.0831089141044258,0,"Below_P90"
5,531113.5791,4419989.11,0.00638739097705467,0.0040932230340099,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
6,531138.5791,4419989.11,0.00600588964178862,0.00393602948646426,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
7,531163.5791,4419989.11,0.00595033408623307,0.00391942194360317,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
8,531188.5791,4419989.11,0.00595033408623307,0.00391942194360317,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
9,531213.5791,4419989.11,0.00595033408623307,0.00391942194360317,0,0.0171633343189304,150,"RF","P90",0.0831089141044258,0,"Below_P90"
10,531238.5791,4419989.11,0.0058491331883655,0.00386085286301542,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
11,531263.5791,4419989.11,0.00584715773098041,0.00389996538374124,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
12,531288.5791,4419989.11,0.00584937995320263,0.00388888902701295,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
13,531313.5791,4419989.11,0.0058560466198693,0.00389425753762071,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
14,531338.5791,4419989.11,0.00589531049933318,0.00394079671070023,0,0.0170464585421331,150,"RF","P90",0.0831089141044258,0,"Below_P90"
