"Statistic","Value"
"N",9600
"Mean",0.0347296731678304
"Median",0.0147996471288396
"SD",0.0556326980116143
"MAD_Raw",0.00849042937788875
"MAD_Scaled_1.4826",0.0125879105956579
"Skewness",3.24993886388754
"Excess_Kurtosis",11.3013517275588
"Minimum",0.00230215994756195
"P01",0.00236533570374025
"P05",0.00356441283235754
"P10",0.00460925527739132
"P25",0.00798830627645787
"P50",0.0147996471288396
"P75",0.0321615209905596
"P90",0.0831089141044258
"P95",0.154400787811881
"P99",0.291361415488511
"Maximum",0.395675963610408
