"Algorithm","Threshold_Method","Run_n","Captured_Run_n","Capture_Rate","Mean_Threshold","SD_Threshold","Minimum_Threshold","Maximum_Threshold","Threshold_CV","Capture_Percent"
"RF","P90",150,127,0.846666666666667,0.0839105033403258,0.0220914200353514,0.004,0.153595594220137,0.263273596938784,84.6666666666667
"XGB","P90",150,61,0.406666666666667,0.184937187078099,0.117102415584125,0.0346806533634663,0.628854870796204,0.6332010204885,40.6666666666667
"SVM","P90",150,55,0.366666666666667,0.0743823744814689,0.0266539389980769,0.0337968237728004,0.172999414142523,0.35833675899547,36.6666666666667
"RF","P95",150,19,0.126666666666667,0.150811521776737,0.053187372813093,0.0380499999999993,0.409333333333333,0.352674465362349,12.6666666666667
"XGB","P95",150,5,0.0333333333333333,0.488689906780918,0.176042746900298,0.131644114851952,0.911915290355682,0.360234055292693,3.33333333333333
"SVM","P95",150,6,0.04,0.0976125264254031,0.0446610787789795,0.0381236824607227,0.266917666989677,0.457534298255359,4
"RF","P99",150,0,0,0.319678559726777,0.14730519091374,0.170393857530238,0.845666666666667,0.460791587148162,0
"XGB","P99",150,0,0,0.890318547825019,0.0745952776070341,0.612235974073411,0.995257556438446,0.0837849304490676,0
"SVM","P99",150,1,0.00666666666666667,0.207636049248359,0.20245415667861,0.04260835651111,0.980321846180309,0.975043386789012,0.666666666666667
"RF","Mean_Plus_2SD",150,27,0.18,0.155576969585021,0.0551309934505419,0.101312703573678,0.358995226271125,0.354364746900494,18
"XGB","Mean_Plus_2SD",150,11,0.0733333333333333,0.423585652211574,0.0760855105677985,0.257845678390119,0.650414571184732,0.179622492335494,7.33333333333333
"SVM","Mean_Plus_2SD",150,8,0.0533333333333333,0.116949888951872,0.0629096244102736,0.0425928640490701,0.333105998802877,0.537919488202016,5.33333333333333
