"Algorithm","Repeat","N","Mean_Probability","Median_Probability","SD_Probability","SE_Probability","Minimum_Probability","Q25_Probability","Q75_Probability","Maximum_Probability","CI95_Lower","CI95_Upper","Mean_Final_Model_OOB_Error","SD_Final_Model_OOB_Error"
"RF",1,5,0.106108430398829,0.100356894158146,0.0321999279191195,0.0144002455395489,0.0781025768758157,0.0781162496127867,0.119096537466039,0.154869893881356,0.0661269391569017,0.146089921640756,0.0365799707005486,0.0012782712804371
"RF",2,5,0.129845452149034,0.115822657347398,0.0372723288831063,0.0166686922124709,0.088308532404603,0.108703106183841,0.157098066091301,0.179294898718025,0.0835657432456702,0.176125161052397,0.0339203026216538,0.00162184974102586
"RF",3,5,0.121847872175658,0.132501295960944,0.0284146520715419,0.0127074187177946,0.0897716546407812,0.0932169924466673,0.144156414294493,0.149593003535407,0.0865664216769389,0.157129322674378,0.0362089627055365,0.000919340290495665
"RF",4,5,0.116398960506117,0.119469161901892,0.0149521781914301,0.00668681736954552,0.0915240767027357,0.118663909972767,0.120250466897894,0.132087187055297,0.0978333791510909,0.134964541861143,0.0356239965739304,0.00083182713598926
"RF",5,5,0.104319068733963,0.0942474686644339,0.0241268199596912,0.0107898419021536,0.0772888610636377,0.0921410403564475,0.120780080638187,0.137137892947109,0.0743616649988705,0.134276472469056,0.0355683961248135,0.000853405692027935
"RF",6,5,0.101459356423537,0.103684270255227,0.0141060720880456,0.00630842721687649,0.0836067597312157,0.09417758881412,0.104059308119443,0.121768855197678,0.0839443545557435,0.11897435829133,0.0366574315545697,0.000269768364489643
"RF",7,5,0.114674493871662,0.109717545853381,0.01842214761001,0.00823863486950351,0.0984004300638856,0.104704615259223,0.11475174125412,0.145798136927699,0.0918003764147168,0.137548611328607,0.0344635476686611,0.000480828093805925
"RF",8,5,0.133670449556481,0.136710911029957,0.0151244403841818,0.00676385536413469,0.117347887535189,0.120127663216548,0.14015,0.15401578600071,0.114890976438463,0.152449922674498,0.0341747173142397,0.00115106412868145
"RF",9,5,0.105757010518335,0.129062706797173,0.0547674068038597,0.024492728912963,0.008,0.126036989002079,0.129700826118326,0.135984530674098,0.0377542932150027,0.173759727821668,0.0316539674640953,0.00547663392559253
"RF",10,5,0.0951838197613295,0.0923482586126534,0.0379979839563171,0.0169932150268543,0.0462470861342825,0.0793105592188656,0.10860289853439,0.149410296306456,0.0480030910784463,0.142364548444213,0.0366328432123796,0.000350045120410025
"RF",11,5,0.0933633897755648,0.103466161570844,0.0563371775801378,0.025194751745933,0.009,0.0703944386868948,0.131445000200795,0.15251134841929,0.0234115446138955,0.163315234937234,0.0351137842017798,0.00132929280381113
"RF",12,5,0.0883512428370629,0.0898419405580705,0.0247842654944458,0.0110838604835966,0.0490193183613262,0.0841987946188287,0.107245747492655,0.111450413154434,0.0575775126506858,0.11912497302344,0.0351740577951896,0.000820543972613913
"RF",13,5,0.123702921327604,0.104559762998142,0.0444847414468393,0.019894181167327,0.0896039029977184,0.101129854704908,0.122862340231148,0.200358745706104,0.068467819403661,0.178938023251547,0.0349060723874739,0.00105452339543848
"RF",14,5,0.0850389900652394,0.0962282188457518,0.0414459445546587,0.0185351898831808,0.0202727272727273,0.0708701297297709,0.113635198680697,0.12418867579725,0.0335770528401704,0.136500927290308,0.0364284378850858,0.00187301629049336
"RF",15,5,0.146813161407245,0.116791770201249,0.139194254697525,0.0622495631162169,0.011,0.0804166666666667,0.147214513025451,0.378642857142857,0,0.319645656221966,0.0329226005653257,0.00406766636366151
"RF",16,5,0.247452190378793,0.239833333333333,0.167126440470848,0.0747412163460778,0.0920905507663575,0.104337067794273,0.3,0.501,0.0399373060981958,0.45496707465939,0.0291807219498471,0.00430733649089653
"RF",17,5,0.113866144461436,0.116063592527127,0.0234717005802036,0.0104968636089713,0.0852059488203189,0.100647767009853,0.11929445565599,0.148118958293893,0.0847221788743792,0.143010110048494,0.0353276752741394,0.000672256213617278
"RF",18,5,0.109934703846212,0.114828704026169,0.0232977783424929,0.0104190832197073,0.0815950636174757,0.091937217472313,0.12167340623523,0.139639127879872,0.0810066912402072,0.138862716452217,0.0350161514451888,0.00195102692810682
"RF",19,5,0.080763366542964,0.0923590599860196,0.038668336372414,0.0172930057411091,0.0153333333333333,0.0802905412438501,0.101188132444987,0.11464576570663,0.0327502853989044,0.128776447687024,0.0360995578667807,0.00194401786495104
"RF",20,5,0.0948771623941591,0.104476386474332,0.0637268896987667,0.0284995314722147,0.01,0.0622775815867187,0.116670348006259,0.180961495903486,0.0157497777376982,0.17400454705062,0.0340731104853988,0.00425532164797453
"RF",21,5,0.100568285621791,0.095238573052888,0.0274629878921761,0.0122818215584319,0.0607815376167228,0.0939759681666489,0.12287907823467,0.129966271038024,0.0664684822729698,0.134668088970612,0.0361366538507422,0.00114705180563706
"RF",22,5,0.106508420550533,0.106518850148581,0.0238635432581184,0.0106721009818319,0.0795361889550429,0.0896264106132489,0.11609681081262,0.140763842223174,0.0768779180173496,0.136138923083717,0.0364212920694231,0.000698255848604183
"RF",23,5,0.152173738687219,0.139985445888076,0.0237291923361963,0.0106120174229804,0.130833333333333,0.134218093782638,0.177365038311319,0.178466782120728,0.122710054856911,0.181637422517526,0.031425613604767,0.0030342841836148
"RF",24,5,0.0958337227093168,0.0978130779240006,0.00536585350814997,0.00239968264030581,0.0884773082545517,0.0920716639663372,0.0996222471152664,0.101184316286428,0.0891711355886116,0.102496309830022,0.0373401714524955,0.000710983954405919
"RF",25,5,0.101857579785823,0.113983466655522,0.031443218891241,0.0140618349744441,0.0587907298237878,0.0792000433451173,0.127401874317634,0.129911784787052,0.0628156669009281,0.140899492670717,0.0367840563289831,0.0013368041091262
"RF",26,5,0.145175544548047,0.142256310094673,0.0755467160659167,0.0337855185200531,0.052,0.116169069570131,0.155417072245565,0.260035270829867,0.0513719070264765,0.238979182069618,0.0316441667637422,0.00167899921264929
"RF",27,5,0.121136314503439,0.123645279721932,0.0230514622469664,0.0103089273129974,0.0919032442819813,0.104645723237081,0.137316059174601,0.1481712661016,0.0925141437254276,0.14975848528145,0.0358591596679383,0.00172397956138326
"RF",28,5,0.0963124348025241,0.0994076068478646,0.00946014898927849,0.00423070724346053,0.0798329832434161,0.0979659541116607,0.10055211992681,0.103803509882869,0.0845661083848933,0.108058761220155,0.0366156869613106,0.00065623112849621
"RF",29,5,0.0888945413678686,0.1024265794879,0.0259536504753301,0.0116068253454216,0.044,0.088974172586466,0.102744803278823,0.106327151486154,0.0566688279506872,0.12112025478505,0.0342856516261886,0.00549330569049298
"RF",30,5,0.113204236369949,0.0967848079057587,0.0304210916825623,0.0136047257903925,0.0857525880811626,0.0960315004816201,0.127593810822735,0.159858474558467,0.0754314620416552,0.150977010698242,0.0357651714214595,0.000798477669586429
