"Algorithm","Rank","Predictor","Run_n","Mean_Importance","Median_Importance","SD_Importance","Minimum_Importance","Maximum_Importance"
"RF",1,"Dist_Silicified",150,0.00312323931057323,0.00224523677485265,0.00370637844605597,-5.40530077999304e-05,0.0232925078761889
"RF",2,"Pb_OK",150,0.00244481624885662,0.00176402757293293,0.00254250986719307,-0.000428792911180995,0.019242982233563
"RF",3,"Zn_OK",150,0.00193445864023224,0.00161455894138148,0.00150533927473262,-0.000438970138288646,0.00998300093107798
"RF",4,"Cu_OK",150,0.00127070548003514,0.00109305994956908,0.001095033696484,-0.0010976757545762,0.00734542688931874
"RF",5,"Dist_Brecciated",150,0.000940612694417059,0.000834256325306134,0.00094141051158239,-0.00106117649444663,0.00549102683769521
"RF",6,"Dist_Fault",150,0.000587779193631942,0.000541479568908015,0.000869199308186469,-0.00142741931148919,0.0036238132067364
"RF",7,"Lithology3",150,0.000249442274255118,0.000173551860486147,0.000415627497803708,-0.000494724373201083,0.00147443271060305
"RF",8,"Lithology2",150,0.000159768029451202,6.95210835411501e-05,0.000301130104833406,-0.000426553883899007,0.00125237177738687
"RF",9,"Lithology5",43,1.33739415274126e-05,0,4.50405622937696e-05,0,0.000220544626568846
"RF",10,"Lithology4",150,-3.32617945338642e-05,-2.12371665696261e-05,9.39157878111479e-05,-0.000338700231085056,0.000249267029318128
"RF",11,"Lithology1",146,-4.78835983653411e-05,-3.14237864170906e-05,8.68075887673513e-05,-0.000298383974579454,0.00018304264706875
