"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"RF","Repeat_01_Fold_01",1,"Fold_01",1,0.033241134299516,0.0438971997342291,0.095941878497482,0.129122025652229,0.199452707416989,0.121035533767974
"RF","Repeat_01_Fold_02",1,"Fold_02",2,0.0348723936593153,0.0443379858708899,0.0767225989014832,0.125422591314753,0.23820771501964,0.123548365401095
"RF","Repeat_01_Fold_03",1,"Fold_03",3,0.0324293472589282,0.0499390801282879,0.0832847119878801,0.126204755346027,0.279193373987044,0.132307507515504
"RF","Repeat_01_Fold_04",1,"Fold_04",4,0.0335226894154428,0.045244059117828,0.0946761305817418,0.136488978044152,0.211611704355006,0.124010807651099
"RF","Repeat_01_Fold_05",1,"Fold_05",5,0.0347277502606516,0.0498092413659301,0.0843136338162203,0.134680773449673,0.274505855403694,0.134346232992512
"RF","Repeat_02_Fold_01",2,"Fold_01",1,0.0374515836734814,0.0561246924451618,0.10169048927565,0.162203975234965,0.285949722898411,0.149700968563805
"RF","Repeat_02_Fold_02",2,"Fold_02",2,0.0395929560359892,0.0580664990305789,0.12341299193119,0.174550874795114,0.26571242525938,0.155725954097147
"RF","Repeat_02_Fold_03",2,"Fold_03",3,0.0375135749911367,0.0621237394801775,0.118534999635828,0.156884885128452,0.336772284451004,0.161761053951492
"RF","Repeat_02_Fold_04",2,"Fold_04",4,0.0416637420817993,0.0969646548458803,0.133935970146597,0.228641819713696,0.517308374908502,0.23559305177356
"RF","Repeat_02_Fold_05",2,"Fold_05",5,0.0374827271718187,0.0588885988247074,0.115124625956259,0.158382987272089,0.306598440962229,0.155259924821233
"RF","Repeat_03_Fold_01",3,"Fold_01",1,0.0317595637208339,0.0489654855290095,0.0803383390515455,0.138914752001045,0.254556955253601,0.129690534778853
"RF","Repeat_03_Fold_02",3,"Fold_02",2,0.0333173983220329,0.0545581376399742,0.0663318476491402,0.152338079807361,0.302061799355565,0.142433673601981
"RF","Repeat_03_Fold_03",3,"Fold_03",3,0.0312560102528032,0.0500164315909311,0.073892673048018,0.140354965174947,0.26313880021193,0.131288873434665
"RF","Repeat_03_Fold_04",3,"Fold_04",4,0.0311036510538348,0.0466078911703202,0.0716399431915315,0.114926974953213,0.244011389513966,0.124319433394475
"RF","Repeat_03_Fold_05",3,"Fold_05",5,0.032483561046006,0.0528806442901924,0.0839925045606177,0.147809775532272,0.265370275998313,0.138244849626391
"RF","Repeat_04_Fold_01",4,"Fold_01",1,0.0389442771056329,0.0545143094756023,0.105924918439236,0.164105032793903,0.260376307664826,0.147972896056837
"RF","Repeat_04_Fold_02",4,"Fold_02",2,0.0383888602609912,0.0529758026972137,0.11115917860848,0.158453504108052,0.248158315791566,0.144340465655419
