"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Probability","Threshold_P90","Captured_P90","Threshold_P95","Captured_P95","Threshold_P99","Captured_P99","Threshold_Mean_Plus_2SD","Captured_Mean_Plus_2SD"
"RF","Repeat_01_Fold_01",1,"Fold_01",1,4678,0.0781162496127867,0.095941878497482,FALSE,0.129122025652229,FALSE,0.199452707416989,FALSE,0.121035533767974,FALSE
"RF","Repeat_01_Fold_02",1,"Fold_02",2,5882,0.0781025768758157,0.0767225989014832,TRUE,0.125422591314753,FALSE,0.23820771501964,FALSE,0.123548365401095,FALSE
"RF","Repeat_01_Fold_03",1,"Fold_03",3,5972,0.100356894158146,0.0832847119878801,TRUE,0.126204755346027,FALSE,0.279193373987044,FALSE,0.132307507515504,FALSE
"RF","Repeat_01_Fold_04",1,"Fold_04",4,5000,0.154869893881356,0.0946761305817418,TRUE,0.136488978044152,TRUE,0.211611704355006,FALSE,0.124010807651099,TRUE
"RF","Repeat_01_Fold_05",1,"Fold_05",5,6362,0.119096537466039,0.0843136338162203,TRUE,0.134680773449673,FALSE,0.274505855403694,FALSE,0.134346232992512,FALSE
"RF","Repeat_02_Fold_01",2,"Fold_01",1,4678,0.108703106183841,0.10169048927565,TRUE,0.162203975234965,FALSE,0.285949722898411,FALSE,0.149700968563805,FALSE
"RF","Repeat_02_Fold_02",2,"Fold_02",2,5882,0.157098066091301,0.12341299193119,TRUE,0.174550874795114,FALSE,0.26571242525938,FALSE,0.155725954097147,TRUE
"RF","Repeat_02_Fold_03",2,"Fold_03",3,5972,0.115822657347398,0.118534999635828,FALSE,0.156884885128452,FALSE,0.336772284451004,FALSE,0.161761053951492,FALSE
"RF","Repeat_02_Fold_04",2,"Fold_04",4,5000,0.179294898718025,0.133935970146597,TRUE,0.228641819713696,FALSE,0.517308374908502,FALSE,0.23559305177356,FALSE
"RF","Repeat_02_Fold_05",2,"Fold_05",5,6362,0.088308532404603,0.115124625956259,FALSE,0.158382987272089,FALSE,0.306598440962229,FALSE,0.155259924821233,FALSE
"RF","Repeat_03_Fold_01",3,"Fold_01",1,4678,0.132501295960944,0.0803383390515455,TRUE,0.138914752001045,FALSE,0.254556955253601,FALSE,0.129690534778853,TRUE
"RF","Repeat_03_Fold_02",3,"Fold_02",2,5882,0.0897716546407812,0.0663318476491402,TRUE,0.152338079807361,FALSE,0.302061799355565,FALSE,0.142433673601981,FALSE
