"Algorithm","Run_ID","Repeat","Fold_ID","mtry","min.node.size","OOB_Prediction_Error","RF_Seed","Selected"
"RF","Repeat_01_Fold_01",1,"Fold_01",1,5,0.0350920786919274,5111,TRUE
"RF","Repeat_01_Fold_01",1,"Fold_01",1,3,0.0353115983969829,5106,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",1,1,0.0361432201342074,5101,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",3,1,0.0366305739339564,5102,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",3,3,0.0373641894959422,5107,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",3,5,0.0382415372279712,5112,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",4,3,0.0385536418929513,5108,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",5,3,0.0390909046216211,5109,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",4,1,0.0396782552733137,5103,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",5,1,0.039740543537956,5104,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",4,5,0.0398365038504123,5113,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",5,5,0.040108827631184,5114,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",10,1,0.0419171307967212,5105,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",10,3,0.0424745341343232,5110,FALSE
"RF","Repeat_01_Fold_01",1,"Fold_01",10,5,0.0433646686987256,5115,FALSE
"RF","Repeat_01_Fold_02",1,"Fold_02",1,3,0.0367981422366974,5206,TRUE
"RF","Repeat_01_Fold_02",1,"Fold_02",1,5,0.0368794971124027,5211,FALSE
"RF","Repeat_01_Fold_02",1,"Fold_02",1,1,0.036911594954787,5201,FALSE
"RF","Repeat_01_Fold_02",1,"Fold_02",3,5,0.0387150670106801,5212,FALSE
"RF","Repeat_01_Fold_02",1,"Fold_02",3,3,0.038994294518015,5207,FALSE
"RF","Repeat_01_Fold_02",1,"Fold_02",4,5,0.0393595301814062,5213,FALSE
"RF","Repeat_01_Fold_02",1,"Fold_02",4,1,0.0400575988378138,5203,FALSE
