"Repeat","Run_n","Mean_Probability","Median_Probability","SD_Probability","SE_Probability","Minimum_Probability","Q25_Probability","Q75_Probability","Maximum_Probability","CI95_Lower","CI95_Upper"
"1",5,0.0503794364681776,0.0425823959813134,0.0154006256630765,0.00688736917573337,0.039322521614385,0.0405214784455625,0.0534150231038883,0.0760557631957389,0.0312570340325225,0.0695018389038327
"2",5,0.0675808577913968,0.0771609550336008,0.0454942472396395,0.0203456458826032,0.00172119290933584,0.0435691383574972,0.102740303081824,0.112712699574726,0.0110922888685555,0.124069426714238
"3",5,0.0430491562847741,0.0381236824607211,0.0305044961929426,0.0136420254213606,0.00159630340365925,0.0343069394118765,0.0567542065031732,0.0844646496444407,0.00517282157865359,0.0809254909908947
"4",5,0.162202934757733,0.0432443888071109,0.242552724246084,0.108472875908401,0.00720222258349829,0.0424136381632284,0.129640399490078,0.588514024744749,0,0.463371920120341
"5",5,0.0669254729809152,0.0524370350769618,0.0314258956628427,0.0140540877911864,0.0374298696781181,0.0468579427376863,0.0845215228613719,0.113380994550438,0.0279050697250556,0.105945876236775
"6",5,0.0648428887094567,0.0666816753869888,0.014266776788495,0.00638029654377819,0.0418897741613181,0.0642279450002762,0.0708352407244667,0.0805798082742337,0.0471283456007734,0.08255743181814
"7",5,0.0700859194107386,0.0672500527821521,0.0301750048861197,0.0134946724293504,0.0466576310013376,0.0478408977305037,0.0677530507676636,0.120927964772036,0.0326187021980211,0.107553136623456
"8",5,0.062435867105343,0.0433258906585585,0.0489859636909263,0.0219071889512496,0.00242818634769428,0.0401892832956613,0.112872594232822,0.113363380991979,0.00161175957300301,0.123259974637683
"9",5,0.055130924126961,0.0411356691221955,0.0368973304317836,0.0165009878067479,0.0159847697803804,0.0364360570485982,0.0712041631423517,0.110893961541279,0.00931683729998717,0.100945010953935
"10",5,0.0452759941823319,0.0481392770177374,0.0174781972624076,0.00781648744057882,0.02185228179335,0.033551482506721,0.059621531523306,0.0632153980705451,0.0235739458880968,0.066978042476567
"11",5,0.0527546241336329,0.0564699359925957,0.0307764197655826,0.0137636333399822,0.00321894305580688,0.0494736236213216,0.0700621193290755,0.084548498669365,0.0145406517171023,0.0909685965501636
"12",5,0.0472506383901952,0.0436491840086025,0.0254429620081145,0.0113784385198177,0.0196879551512281,0.0261002889713302,0.0727131789690922,0.0741025848507229,0.0156590284570532,0.0788422483233371
"13",5,0.0836151167935073,0.096929781290956,0.0549316719818176,0.0245661905338129,0.00156918878725464,0.0586070180090537,0.12205269478022,0.138916901100052,0.0154084373325459,0.151821796254469
"14",5,0.0377661886662414,0.0422992995878158,0.0197176455981389,0.0088179991827376,0.00457399675966255,0.0408659124268527,0.0435952257508304,0.0574965088060453,0.0132834979976914,0.0622488793347913
"15",5,0.0422273907178224,0.0432319314621887,0.0188095966937019,0.00841190736729457,0.0157482345007015,0.0343821056617924,0.0519449886500912,0.0658296933143384,0.0188721916825202,0.0655825897531247
"16",5,0.0668800206557443,0.0650776966198796,0.0360224204761405,0.0161097161797461,0.0154814753595248,0.0538991124515991,0.09030440900722,0.109637409840498,0.0221522780223625,0.111607763289126
"17",5,0.0759499432360665,0.0916306649917048,0.03848778874814,0.0172122623888985,0.0308266868305961,0.0386386197545525,0.105930360869246,0.112723383734233,0.0281610415770291,0.123738844895104
"18",5,0.0715054816977337,0.0573408589529435,0.0589107807776417,0.026345702085279,0.0250323776333817,0.0358551497841371,0.0666641681018252,0.172634854016381,0,0.144652877295406
"19",5,0.0559680919943108,0.0460787133001445,0.0331840350248674,0.0148403516166675,0.0254408952063359,0.0264766284772778,0.0853679333950872,0.0964762895927085,0.0147646703888002,0.0971715135998214
"20",5,0.057639641346461,0.0652592946510284,0.0393833972677579,0.0176127906951172,0.000941712081443456,0.0411853302493688,0.0743826816932102,0.106429188057254,0.00873869483212953,0.106540587860792
"21",5,0.0656182527858976,0.0571893599547035,0.0327703197441448,0.0146553325184622,0.021359805531457,0.0532953323015543,0.0975327571959027,0.0987140089458707,0.0249285265499671,0.106307979021828
"22",5,0.0699212954454934,0.0722178535558975,0.0346686090303716,0.0155042732954548,0.0198622693071986,0.0585882589152802,0.0849450592081197,0.113993036240971,0.026874531744679,0.112968059146308
"23",5,0.0543053452716067,0.0399094102024838,0.0362413365944814,0.0162076184441422,0.0111098938471331,0.0371833406925924,0.0847179966421789,0.0986060849736452,0.00930578237545453,0.0993049081677588
"24",5,0.0399313534620002,0.0467444959001769,0.0189363548212367,0.00846859532526821,0.00937438252375038,0.0355384646286757,0.0495804446889839,0.0584189795684143,0.0164187634232584,0.0634439435007421
"25",5,0.0621515159616007,0.0325630307173112,0.0476952729439604,0.0213299745016204,0.0238690813621318,0.0310634670781934,0.0904717534372133,0.132790247213154,0.00293001266258301,0.121373019260618
"26",5,0.0943254959237045,0.0791839203321025,0.0686228684394011,0.0306890797283052,0.00146820449360259,0.0735359795752684,0.133627651295181,0.183811723922368,0.00911895072902678,0.179532041118382
"27",5,0.0635146354837674,0.0649490443042417,0.0284711199041695,0.012732671900254,0.0300349148828962,0.0485736915341136,0.0671031968583843,0.106912329839201,0.0281630709102175,0.0988662000573172
"28",5,0.0540907105057677,0.0564377138895502,0.0160770664496945,0.00718988269205962,0.035879916387839,0.04057160641233,0.0623671994041496,0.0751971164349697,0.0341283958984524,0.074053025113083
"29",5,0.0404953793170695,0.0436987482735345,0.0320891510908136,0.0143507046358642,0.00500059733055845,0.0115740080316403,0.0627721511017356,0.0794313918478786,0.000651435674685175,0.0803393229594538
"30",5,0.0578730090634188,0.0443908747645129,0.0369650241820983,0.0165312613722191,0.0157101354257025,0.0415169013120149,0.0758933889111926,0.111853744903671,0.0119748693437758,0.103771148783062
