"Selection_Rank","Cost","Gamma","Selected_Run_n","Selected_Percent","Mean_Inner_CV_Logloss","Mean_HeldOut_Probability"
1,1,0.01,57,38,0.151686200992175,0.0831068058154013
2,10,0.01,30,20,0.147014064465248,0.0638601294945643
3,100,0.01,17,11.3333333333333,0.148913871175898,0.0480956007204461
4,100,1,12,8,0.143032416864899,0.035522580162065
5,10,1,10,6.66666666666667,0.138251493081419,0.0373798293818453
6,10,0.1,9,6,0.126609651341413,0.0130088036598558
7,100,0.1,6,4,0.136502467765682,0.0260315760700295
8,1,0.1,4,2.66666666666667,0.13451651732128,0.0183148118140048
9,0.1,0.1,3,2,0.157105163186559,0.0394303896649065
10,1,1,2,1.33333333333333,0.152829886953013,0.336531261707057
