"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"SVM","Repeat_01_Fold_01",1,"Fold_01",1,0.0412418836917363,0.00138171655242049,0.0426338148375207,0.0427479547372005,0.0429400082464068,0.0440053167965773
"SVM","Repeat_01_Fold_02",1,"Fold_02",2,0.0405600852558745,0.0108588006332964,0.0570036735086757,0.0599162993569468,0.062804578442417,0.0622776865224673
"SVM","Repeat_01_Fold_03",1,"Fold_03",3,0.0409646461626659,0.00878722236914009,0.0537183834096576,0.0565953955843831,0.0616495370910842,0.0585390909009461
"SVM","Repeat_01_Fold_04",1,"Fold_04",4,0.0421300969781846,0.00184195176421136,0.0439395522918183,0.0458759373866151,0.048614370603568,0.0458140005066073
"SVM","Repeat_01_Fold_05",1,"Fold_05",5,0.0427143154478809,0.0213964525497776,0.0755220343722789,0.0839679704802748,0.097022876539036,0.085507220547436
"SVM","Repeat_02_Fold_01",2,"Fold_01",1,0.0485980624885571,0.0802595635738769,0.043568866000915,0.0878223745142513,0.540097399043992,0.209117189636311
"SVM","Repeat_02_Fold_02",2,"Fold_02",2,0.040378249244934,0.042739901962372,0.112126900484471,0.136489542800969,0.170648346983316,0.125858053169678
"SVM","Repeat_02_Fold_03",2,"Fold_03",3,0.0449733494217631,0.0500531980895288,0.108118785306369,0.142638529700431,0.261394468136821,0.145079745600821
"SVM","Repeat_02_Fold_04",2,"Fold_04",4,0.0363176580901605,0.0501701751745659,0.0669722720134402,0.0916889069992763,0.25244911694996,0.136658008439292
"SVM","Repeat_02_Fold_05",2,"Fold_05",5,0.0456915863033976,0.0463293645926653,0.110314719831997,0.138461587109827,0.224944090937871,0.138350315488728
"SVM","Repeat_03_Fold_01",3,"Fold_01",1,0.0322516364912361,0.0515939241016838,0.0349134573693371,0.0381236824607227,0.192193801570495,0.135439484694604
"SVM","Repeat_03_Fold_02",3,"Fold_02",2,0.0349697683140506,0.0457474018875084,0.107115786598108,0.138196865452294,0.186633087983553,0.126464572089067
"SVM","Repeat_03_Fold_03",3,"Fold_03",3,0.0368896228707945,0.028408477789623,0.0773927050302772,0.0949714098471402,0.133155771863162,0.0937065784500405
"SVM","Repeat_03_Fold_04",3,"Fold_04",4,0.0219905912490456,0.0431657301805571,0.0477697741331899,0.0882209516163987,0.243022179110289,0.10832205161016
"SVM","Repeat_03_Fold_05",3,"Fold_05",5,0.0401939943698419,0.0110777186080035,0.0563217488775836,0.059857600199547,0.0660926920434638,0.0623494315858489
"SVM","Repeat_04_Fold_01",4,"Fold_01",1,0.040912358828183,0.0691852752427228,0.0420353822552543,0.0587284820409524,0.363890315849045,0.179282909313629
"SVM","Repeat_04_Fold_02",4,"Fold_02",2,0.0571139848607862,0.137996006971045,0.0464483784770692,0.244893488465217,0.863029692237477,0.333105998802877
"SVM","Repeat_04_Fold_03",4,"Fold_03",3,0.0477072856801064,0.0470392404027233,0.115184572090961,0.151505011190424,0.210995952470664,0.141785766485553
"SVM","Repeat_04_Fold_04",4,"Fold_04",4,0.0340554703961625,0.0321532681546224,0.0583912691126634,0.0857821415133506,0.191050457612509,0.0983620067054074
"SVM","Repeat_04_Fold_05",4,"Fold_05",5,0.0588561297490913,0.0908432653006365,0.0653662657015103,0.144483562363634,0.577843899313245,0.240542660350364
"SVM","Repeat_05_Fold_01",5,"Fold_01",1,0.0396316668921794,0.0395987685703625,0.0997552609807212,0.12875542491201,0.165727440796551,0.118829204032905
