"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Occurrence_Probability","Kernel","Cost","Gamma","Class_Weight_PseudoBackground","Class_Weight_Occurrence","Inner_nfold","Inner_CV_Logloss","Scaling_Applied","SVM_Seed","QAQC_Status"
"SVM","Repeat_01_Fold_01",1,"Fold_01",1,4678,0.0405214784455625,"radial",0.1,0.1,1,25,4,0.165364089874819,TRUE,9101,"PASS"
"SVM","Repeat_01_Fold_02",1,"Fold_02",2,5882,0.039322521614385,"radial",10,0.01,1,25,4,0.161756232398978,TRUE,9102,"PASS"
"SVM","Repeat_01_Fold_03",1,"Fold_03",3,5972,0.0534150231038883,"radial",1,0.01,1,25,4,0.160409191243294,TRUE,9103,"PASS"
"SVM","Repeat_01_Fold_04",1,"Fold_04",4,5000,0.0425823959813134,"radial",100,1,1,25,4,0.161549640820855,TRUE,9104,"PASS"
"SVM","Repeat_01_Fold_05",1,"Fold_05",5,6362,0.0760557631957389,"radial",1,0.01,1,25,4,0.157081277944525,TRUE,9105,"PASS"
"SVM","Repeat_02_Fold_01",2,"Fold_01",1,4678,0.0435691383574972,"radial",10,1,1,25,4,0.132020785157697,TRUE,9201,"PASS"
"SVM","Repeat_02_Fold_02",2,"Fold_02",2,5882,0.0771609550336008,"radial",10,0.01,1,25,4,0.13320488218436,TRUE,9202,"PASS"
"SVM","Repeat_02_Fold_03",2,"Fold_03",3,5972,0.112712699574726,"radial",1,0.01,1,25,4,0.151410233147171,TRUE,9203,"PASS"
"SVM","Repeat_02_Fold_04",2,"Fold_04",4,5000,0.00172119290933584,"radial",100,0.1,1,25,4,0.11049542612021,TRUE,9204,"PASS"
"SVM","Repeat_02_Fold_05",2,"Fold_05",5,6362,0.102740303081824,"radial",1,0.01,1,25,4,0.154698516713028,TRUE,9205,"PASS"
"SVM","Repeat_03_Fold_01",3,"Fold_01",1,4678,0.0381236824607211,"radial",10,1,1,25,4,0.151948781702168,TRUE,9301,"PASS"
"SVM","Repeat_03_Fold_02",3,"Fold_02",2,5882,0.0343069394118765,"radial",100,0.01,1,25,4,0.140089822963482,TRUE,9302,"PASS"
"SVM","Repeat_03_Fold_03",3,"Fold_03",3,5972,0.0844646496444407,"radial",1,0.01,1,25,4,0.146932343534757,TRUE,9303,"PASS"
"SVM","Repeat_03_Fold_04",3,"Fold_04",4,5000,0.00159630340365925,"radial",100,0.1,1,25,4,0.141453148850866,TRUE,9304,"PASS"
"SVM","Repeat_03_Fold_05",3,"Fold_05",5,6362,0.0567542065031732,"radial",1,0.01,1,25,4,0.154196339912061,TRUE,9305,"PASS"
"SVM","Repeat_04_Fold_01",4,"Fold_01",1,4678,0.0432443888071109,"radial",100,1,1,25,4,0.145614060069291,TRUE,9401,"PASS"
"SVM","Repeat_04_Fold_02",4,"Fold_02",2,5882,0.0424136381632284,"radial",10,1,1,25,4,0.110375258451552,TRUE,9402,"PASS"
"SVM","Repeat_04_Fold_03",4,"Fold_03",3,5972,0.129640399490078,"radial",1,0.01,1,25,4,0.146364267640267,TRUE,9403,"PASS"
"SVM","Repeat_04_Fold_04",4,"Fold_04",4,5000,0.00720222258349829,"radial",100,0.1,1,25,4,0.140482756351336,TRUE,9404,"PASS"
"SVM","Repeat_04_Fold_05",4,"Fold_05",5,6362,0.588514024744749,"radial",1,1,1,25,4,0.146299112828841,TRUE,9405,"PASS"
"SVM","Repeat_05_Fold_01",5,"Fold_01",1,4678,0.0845215228613719,"radial",1,0.01,1,25,4,0.152516075769732,TRUE,9501,"PASS"
"SVM","Repeat_05_Fold_02",5,"Fold_02",2,5882,0.0524370350769618,"radial",10,0.01,1,25,4,0.137457892998892,TRUE,9502,"PASS"
"SVM","Repeat_05_Fold_03",5,"Fold_03",3,5972,0.0468579427376863,"radial",100,0.01,1,25,4,0.161059682837746,TRUE,9503,"PASS"
"SVM","Repeat_05_Fold_04",5,"Fold_04",4,5000,0.0374298696781181,"radial",10,1,1,25,4,0.139896864769847,TRUE,9504,"PASS"
"SVM","Repeat_05_Fold_05",5,"Fold_05",5,6362,0.113380994550438,"radial",1,0.01,1,25,4,0.151669641585033,TRUE,9505,"PASS"
"SVM","Repeat_06_Fold_01",6,"Fold_01",1,4678,0.0708352407244667,"radial",1,0.01,1,25,4,0.151524980733717,TRUE,9601,"PASS"
"SVM","Repeat_06_Fold_02",6,"Fold_02",2,5882,0.0642279450002762,"radial",10,0.01,1,25,4,0.134392394868772,TRUE,9602,"PASS"
"SVM","Repeat_06_Fold_03",6,"Fold_03",3,5972,0.0805798082742337,"radial",100,0.01,1,25,4,0.152072124923007,TRUE,9603,"PASS"
"SVM","Repeat_06_Fold_04",6,"Fold_04",4,5000,0.0418897741613181,"radial",0.1,0.1,1,25,4,0.153631938211111,TRUE,9604,"PASS"
"SVM","Repeat_06_Fold_05",6,"Fold_05",5,6362,0.0666816753869888,"radial",1,0.01,1,25,4,0.144406401749944,TRUE,9605,"PASS"
"SVM","Repeat_07_Fold_01",7,"Fold_01",1,4678,0.0478408977305037,"radial",1,0.01,1,25,4,0.14236134845098,TRUE,9701,"PASS"
"SVM","Repeat_07_Fold_02",7,"Fold_02",2,5882,0.120927964772036,"radial",10,0.01,1,25,4,0.147569422079687,TRUE,9702,"PASS"
"SVM","Repeat_07_Fold_03",7,"Fold_03",3,5972,0.0672500527821521,"radial",100,0.01,1,25,4,0.148616158442533,TRUE,9703,"PASS"
"SVM","Repeat_07_Fold_04",7,"Fold_04",4,5000,0.0466576310013376,"radial",10,0.01,1,25,4,0.127268584750714,TRUE,9704,"PASS"
"SVM","Repeat_07_Fold_05",7,"Fold_05",5,6362,0.0677530507676636,"radial",100,0.01,1,25,4,0.147051778850915,TRUE,9705,"PASS"
"SVM","Repeat_08_Fold_01",8,"Fold_01",1,4678,0.0401892832956613,"radial",10,1,1,25,4,0.136482867579628,TRUE,9801,"PASS"
"SVM","Repeat_08_Fold_02",8,"Fold_02",2,5882,0.0433258906585585,"radial",100,0.01,1,25,4,0.144922752186463,TRUE,9802,"PASS"
"SVM","Repeat_08_Fold_03",8,"Fold_03",3,5972,0.112872594232822,"radial",10,0.01,1,25,4,0.138677107396502,TRUE,9803,"PASS"
"SVM","Repeat_08_Fold_04",8,"Fold_04",4,5000,0.00242818634769428,"radial",10,0.1,1,25,4,0.0995203897080177,TRUE,9804,"PASS"
"SVM","Repeat_08_Fold_05",8,"Fold_05",5,6362,0.113363380991979,"radial",10,0.01,1,25,4,0.142362779580003,TRUE,9805,"PASS"
"SVM","Repeat_09_Fold_01",9,"Fold_01",1,4678,0.0411356691221955,"radial",10,1,1,25,4,0.133410195365783,TRUE,9901,"PASS"
"SVM","Repeat_09_Fold_02",9,"Fold_02",2,5882,0.0364360570485982,"radial",100,1,1,25,4,0.132440590019375,TRUE,9902,"PASS"
"SVM","Repeat_09_Fold_03",9,"Fold_03",3,5972,0.0712041631423517,"radial",100,0.01,1,25,4,0.130244904465735,TRUE,9903,"PASS"
"SVM","Repeat_09_Fold_04",9,"Fold_04",4,5000,0.0159847697803804,"radial",1,0.1,1,25,4,0.123111839937425,TRUE,9904,"PASS"
"SVM","Repeat_09_Fold_05",9,"Fold_05",5,6362,0.110893961541279,"radial",1,0.01,1,25,4,0.153928416824542,TRUE,9905,"PASS"
"SVM","Repeat_10_Fold_01",10,"Fold_01",1,4678,0.0632153980705451,"radial",1,0.01,1,25,4,0.165068260126503,TRUE,10001,"PASS"
"SVM","Repeat_10_Fold_02",10,"Fold_02",2,5882,0.033551482506721,"radial",10,0.01,1,25,4,0.144519409785833,TRUE,10002,"PASS"
"SVM","Repeat_10_Fold_03",10,"Fold_03",3,5972,0.0481392770177374,"radial",10,0.01,1,25,4,0.158859728649235,TRUE,10003,"PASS"
"SVM","Repeat_10_Fold_04",10,"Fold_04",4,5000,0.02185228179335,"radial",10,1,1,25,4,0.145146600084894,TRUE,10004,"PASS"
"SVM","Repeat_10_Fold_05",10,"Fold_05",5,6362,0.059621531523306,"radial",1,0.01,1,25,4,0.162135256810463,TRUE,10005,"PASS"
"SVM","Repeat_11_Fold_01",11,"Fold_01",1,4678,0.0700621193290755,"radial",1,0.01,1,25,4,0.169148943514503,TRUE,10101,"PASS"
"SVM","Repeat_11_Fold_02",11,"Fold_02",2,5882,0.0564699359925957,"radial",100,0.01,1,25,4,0.137661446978388,TRUE,10102,"PASS"
"SVM","Repeat_11_Fold_03",11,"Fold_03",3,5972,0.0494736236213216,"radial",1,0.01,1,25,4,0.165934175455927,TRUE,10103,"PASS"
"SVM","Repeat_11_Fold_04",11,"Fold_04",4,5000,0.00321894305580688,"radial",100,0.1,1,25,4,0.132263136800378,TRUE,10104,"PASS"
"SVM","Repeat_11_Fold_05",11,"Fold_05",5,6362,0.084548498669365,"radial",1,1,1,25,4,0.159360661077184,TRUE,10105,"PASS"
"SVM","Repeat_12_Fold_01",12,"Fold_01",1,4678,0.0741025848507229,"radial",10,0.01,1,25,4,0.154320757474383,TRUE,10201,"PASS"
"SVM","Repeat_12_Fold_02",12,"Fold_02",2,5882,0.0261002889713302,"radial",10,0.01,1,25,4,0.150787287479259,TRUE,10202,"PASS"
"SVM","Repeat_12_Fold_03",12,"Fold_03",3,5972,0.0436491840086025,"radial",1,0.01,1,25,4,0.15099129336856,TRUE,10203,"PASS"
"SVM","Repeat_12_Fold_04",12,"Fold_04",4,5000,0.0196879551512281,"radial",1,0.1,1,25,4,0.151277820088608,TRUE,10204,"PASS"
"SVM","Repeat_12_Fold_05",12,"Fold_05",5,6362,0.0727131789690922,"radial",100,0.01,1,25,4,0.161156101089152,TRUE,10205,"PASS"
"SVM","Repeat_13_Fold_01",13,"Fold_01",1,4678,0.096929781290956,"radial",1,0.01,1,25,4,0.141912589806682,TRUE,10301,"PASS"
"SVM","Repeat_13_Fold_02",13,"Fold_02",2,5882,0.0586070180090537,"radial",10,0.01,1,25,4,0.144791855397816,TRUE,10302,"PASS"
"SVM","Repeat_13_Fold_03",13,"Fold_03",3,5972,0.12205269478022,"radial",1,0.01,1,25,4,0.156195034354821,TRUE,10303,"PASS"
"SVM","Repeat_13_Fold_04",13,"Fold_04",4,5000,0.00156918878725464,"radial",10,0.1,1,25,4,0.106223457287554,TRUE,10304,"PASS"
"SVM","Repeat_13_Fold_05",13,"Fold_05",5,6362,0.138916901100052,"radial",1,0.01,1,25,4,0.144714781269543,TRUE,10305,"PASS"
"SVM","Repeat_14_Fold_01",14,"Fold_01",1,4678,0.0435952257508304,"radial",100,1,1,25,4,0.162193765746768,TRUE,10401,"PASS"
"SVM","Repeat_14_Fold_02",14,"Fold_02",2,5882,0.0408659124268527,"radial",10,0.01,1,25,4,0.147828933315758,TRUE,10402,"PASS"
"SVM","Repeat_14_Fold_03",14,"Fold_03",3,5972,0.0574965088060453,"radial",1,0.01,1,25,4,0.161628083478434,TRUE,10403,"PASS"
"SVM","Repeat_14_Fold_04",14,"Fold_04",4,5000,0.00457399675966255,"radial",10,0.1,1,25,4,0.15628783849993,TRUE,10404,"PASS"
"SVM","Repeat_14_Fold_05",14,"Fold_05",5,6362,0.0422992995878158,"radial",1,0.01,1,25,4,0.156659929384922,TRUE,10405,"PASS"
"SVM","Repeat_15_Fold_01",15,"Fold_01",1,4678,0.0432319314621887,"radial",100,1,1,25,4,0.16011949987911,TRUE,10501,"PASS"
"SVM","Repeat_15_Fold_02",15,"Fold_02",2,5882,0.0519449886500912,"radial",10,0.01,1,25,4,0.141283277405333,TRUE,10502,"PASS"
"SVM","Repeat_15_Fold_03",15,"Fold_03",3,5972,0.0157482345007015,"radial",100,0.01,1,25,4,0.152733151564416,TRUE,10503,"PASS"
"SVM","Repeat_15_Fold_04",15,"Fold_04",4,5000,0.0343821056617924,"radial",10,0.1,1,25,4,0.131535901069984,TRUE,10504,"PASS"
"SVM","Repeat_15_Fold_05",15,"Fold_05",5,6362,0.0658296933143384,"radial",10,0.01,1,25,4,0.147370888641032,TRUE,10505,"PASS"
"SVM","Repeat_16_Fold_01",16,"Fold_01",1,4678,0.0650776966198796,"radial",1,0.01,1,25,4,0.149831656082814,TRUE,10601,"PASS"
"SVM","Repeat_16_Fold_02",16,"Fold_02",2,5882,0.0154814753595248,"radial",100,0.01,1,25,4,0.138228176182694,TRUE,10602,"PASS"
"SVM","Repeat_16_Fold_03",16,"Fold_03",3,5972,0.109637409840498,"radial",10,0.01,1,25,4,0.137859511641699,TRUE,10603,"PASS"
"SVM","Repeat_16_Fold_04",16,"Fold_04",4,5000,0.0538991124515991,"radial",1,0.01,1,25,4,0.131494944330433,TRUE,10604,"PASS"
"SVM","Repeat_16_Fold_05",16,"Fold_05",5,6362,0.09030440900722,"radial",10,0.01,1,25,4,0.1451378808232,TRUE,10605,"PASS"
"SVM","Repeat_17_Fold_01",17,"Fold_01",1,4678,0.0916306649917048,"radial",1,0.01,1,25,4,0.157423375534646,TRUE,10701,"PASS"
"SVM","Repeat_17_Fold_02",17,"Fold_02",2,5882,0.0308266868305961,"radial",10,0.01,1,25,4,0.153948626997344,TRUE,10702,"PASS"
"SVM","Repeat_17_Fold_03",17,"Fold_03",3,5972,0.112723383734233,"radial",1,0.01,1,25,4,0.1501772150812,TRUE,10703,"PASS"
"SVM","Repeat_17_Fold_04",17,"Fold_04",4,5000,0.0386386197545525,"radial",1,0.01,1,25,4,0.145252319488807,TRUE,10704,"PASS"
"SVM","Repeat_17_Fold_05",17,"Fold_05",5,6362,0.105930360869246,"radial",1,0.01,1,25,4,0.148105039574871,TRUE,10705,"PASS"
"SVM","Repeat_18_Fold_01",18,"Fold_01",1,4678,0.0573408589529435,"radial",10,0.1,1,25,4,0.159076761307853,TRUE,10801,"PASS"
"SVM","Repeat_18_Fold_02",18,"Fold_02",2,5882,0.172634854016381,"radial",1,0.01,1,25,4,0.146829300960009,TRUE,10802,"PASS"
"SVM","Repeat_18_Fold_03",18,"Fold_03",3,5972,0.0358551497841371,"radial",1,0.01,1,25,4,0.145305261383883,TRUE,10803,"PASS"
"SVM","Repeat_18_Fold_04",18,"Fold_04",4,5000,0.0250323776333817,"radial",100,1,1,25,4,0.132650158154375,TRUE,10804,"PASS"
"SVM","Repeat_18_Fold_05",18,"Fold_05",5,6362,0.0666641681018252,"radial",1,0.01,1,25,4,0.150097495720189,TRUE,10805,"PASS"
"SVM","Repeat_19_Fold_01",19,"Fold_01",1,4678,0.0254408952063359,"radial",100,1,1,25,4,0.152006293260839,TRUE,10901,"PASS"
