"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","Kernel","Cost","Gamma","Inner_nfold","Inner_CV_Logloss"
"SVM","Repeat_01_Fold_01",1,"Fold_01",1,"radial",0.1,0.01,4,0.17538820628318
"SVM","Repeat_01_Fold_01",1,"Fold_01",2,"radial",1,0.01,4,0.16635086225093
"SVM","Repeat_01_Fold_01",1,"Fold_01",3,"radial",10,0.01,4,0.167788246195432
"SVM","Repeat_01_Fold_01",1,"Fold_01",4,"radial",100,0.01,4,0.180553704856346
"SVM","Repeat_01_Fold_01",1,"Fold_01",5,"radial",0.1,0.1,4,0.165364089874819
"SVM","Repeat_01_Fold_01",1,"Fold_01",6,"radial",1,0.1,4,0.198574034734069
"SVM","Repeat_01_Fold_01",1,"Fold_01",7,"radial",10,0.1,4,0.188470519329691
"SVM","Repeat_01_Fold_01",1,"Fold_01",8,"radial",100,0.1,4,0.187272994733371
"SVM","Repeat_01_Fold_01",1,"Fold_01",9,"radial",0.1,1,4,0.218242097536935
"SVM","Repeat_01_Fold_01",1,"Fold_01",10,"radial",1,1,4,0.189609649690021
"SVM","Repeat_01_Fold_01",1,"Fold_01",11,"radial",10,1,4,0.17502823776504
"SVM","Repeat_01_Fold_01",1,"Fold_01",12,"radial",100,1,4,0.179995775518215
"SVM","Repeat_01_Fold_02",1,"Fold_02",1,"radial",0.1,0.01,4,0.184369643288794
"SVM","Repeat_01_Fold_02",1,"Fold_02",2,"radial",1,0.01,4,0.171453268729953
"SVM","Repeat_01_Fold_02",1,"Fold_02",3,"radial",10,0.01,4,0.161756232398978
"SVM","Repeat_01_Fold_02",1,"Fold_02",4,"radial",100,0.01,4,0.199829882187525
"SVM","Repeat_01_Fold_02",1,"Fold_02",5,"radial",0.1,0.1,4,0.191566789449853
"SVM","Repeat_01_Fold_02",1,"Fold_02",6,"radial",1,0.1,4,0.174437688230971
"SVM","Repeat_01_Fold_02",1,"Fold_02",7,"radial",10,0.1,4,0.206769854744496
"SVM","Repeat_01_Fold_02",1,"Fold_02",8,"radial",100,0.1,4,0.184227721901241
"SVM","Repeat_01_Fold_02",1,"Fold_02",9,"radial",0.1,1,4,0.221957357714379
"SVM","Repeat_01_Fold_02",1,"Fold_02",10,"radial",1,1,4,0.17465113839926
"SVM","Repeat_01_Fold_02",1,"Fold_02",11,"radial",10,1,4,0.174293967662863
"SVM","Repeat_01_Fold_02",1,"Fold_02",12,"radial",100,1,4,0.183237857724573
"SVM","Repeat_01_Fold_03",1,"Fold_03",1,"radial",0.1,0.01,4,0.182773164991022
"SVM","Repeat_01_Fold_03",1,"Fold_03",2,"radial",1,0.01,4,0.160409191243294
"SVM","Repeat_01_Fold_03",1,"Fold_03",3,"radial",10,0.01,4,0.160914694313717
"SVM","Repeat_01_Fold_03",1,"Fold_03",4,"radial",100,0.01,4,0.170931535467613
"SVM","Repeat_01_Fold_03",1,"Fold_03",5,"radial",0.1,0.1,4,0.167962735592162
"SVM","Repeat_01_Fold_03",1,"Fold_03",6,"radial",1,0.1,4,0.171181429272431
"SVM","Repeat_01_Fold_03",1,"Fold_03",7,"radial",10,0.1,4,0.170100586444837
"SVM","Repeat_01_Fold_03",1,"Fold_03",8,"radial",100,0.1,4,0.171827096884262
"SVM","Repeat_01_Fold_03",1,"Fold_03",9,"radial",0.1,1,4,0.173520376281041
"SVM","Repeat_01_Fold_03",1,"Fold_03",10,"radial",1,1,4,0.167883932503921
"SVM","Repeat_01_Fold_03",1,"Fold_03",11,"radial",10,1,4,0.165058187519975
"SVM","Repeat_01_Fold_03",1,"Fold_03",12,"radial",100,1,4,0.165311526478067
"SVM","Repeat_01_Fold_04",1,"Fold_04",1,"radial",0.1,0.01,4,0.183663815979017
"SVM","Repeat_01_Fold_04",1,"Fold_04",2,"radial",1,0.01,4,0.171606056086282
"SVM","Repeat_01_Fold_04",1,"Fold_04",3,"radial",10,0.01,4,0.177783339580355
"SVM","Repeat_01_Fold_04",1,"Fold_04",4,"radial",100,0.01,4,0.169885993160494
"SVM","Repeat_01_Fold_04",1,"Fold_04",5,"radial",0.1,0.1,4,0.174369478945135
"SVM","Repeat_01_Fold_04",1,"Fold_04",6,"radial",1,0.1,4,0.176201638814759
"SVM","Repeat_01_Fold_04",1,"Fold_04",7,"radial",10,0.1,4,0.201222048607838
"SVM","Repeat_01_Fold_04",1,"Fold_04",8,"radial",100,0.1,4,0.170825096231687
"SVM","Repeat_01_Fold_04",1,"Fold_04",9,"radial",0.1,1,4,0.171196662719068
"SVM","Repeat_01_Fold_04",1,"Fold_04",10,"radial",1,1,4,0.177714648790011
"SVM","Repeat_01_Fold_04",1,"Fold_04",11,"radial",10,1,4,0.167168945995242
"SVM","Repeat_01_Fold_04",1,"Fold_04",12,"radial",100,1,4,0.161549640820855
"SVM","Repeat_01_Fold_05",1,"Fold_05",1,"radial",0.1,0.01,4,0.203354427314972
"SVM","Repeat_01_Fold_05",1,"Fold_05",2,"radial",1,0.01,4,0.157081277944525
"SVM","Repeat_01_Fold_05",1,"Fold_05",3,"radial",10,0.01,4,0.165431063061176
"SVM","Repeat_01_Fold_05",1,"Fold_05",4,"radial",100,0.01,4,0.158743101086408
"SVM","Repeat_01_Fold_05",1,"Fold_05",5,"radial",0.1,0.1,4,0.167418758518065
"SVM","Repeat_01_Fold_05",1,"Fold_05",6,"radial",1,0.1,4,0.174005410828147
"SVM","Repeat_01_Fold_05",1,"Fold_05",7,"radial",10,0.1,4,0.188120518649213
"SVM","Repeat_01_Fold_05",1,"Fold_05",8,"radial",100,0.1,4,0.171592628052314
"SVM","Repeat_01_Fold_05",1,"Fold_05",9,"radial",0.1,1,4,0.176752934327653
"SVM","Repeat_01_Fold_05",1,"Fold_05",10,"radial",1,1,4,0.166159136915538
"SVM","Repeat_01_Fold_05",1,"Fold_05",11,"radial",10,1,4,0.162997466500336
"SVM","Repeat_01_Fold_05",1,"Fold_05",12,"radial",100,1,4,0.169487903202078
"SVM","Repeat_02_Fold_01",2,"Fold_01",1,"radial",0.1,0.01,4,0.16861085970612
"SVM","Repeat_02_Fold_01",2,"Fold_01",2,"radial",1,0.01,4,0.163033046214954
"SVM","Repeat_02_Fold_01",2,"Fold_01",3,"radial",10,0.01,4,0.168147544848009
"SVM","Repeat_02_Fold_01",2,"Fold_01",4,"radial",100,0.01,4,0.208233053861959
"SVM","Repeat_02_Fold_01",2,"Fold_01",5,"radial",0.1,0.1,4,0.169683201537604
"SVM","Repeat_02_Fold_01",2,"Fold_01",6,"radial",1,0.1,4,0.177483469053105
"SVM","Repeat_02_Fold_01",2,"Fold_01",7,"radial",10,0.1,4,0.20401380776346
"SVM","Repeat_02_Fold_01",2,"Fold_01",8,"radial",100,0.1,4,0.203649445711366
"SVM","Repeat_02_Fold_01",2,"Fold_01",9,"radial",0.1,1,4,0.204289541619116
"SVM","Repeat_02_Fold_01",2,"Fold_01",10,"radial",1,1,4,0.178347717704618
"SVM","Repeat_02_Fold_01",2,"Fold_01",11,"radial",10,1,4,0.132020785157697
"SVM","Repeat_02_Fold_01",2,"Fold_01",12,"radial",100,1,4,0.13668192023314
"SVM","Repeat_02_Fold_02",2,"Fold_02",1,"radial",0.1,0.01,4,0.197028463859355
"SVM","Repeat_02_Fold_02",2,"Fold_02",2,"radial",1,0.01,4,0.150337419552723
"SVM","Repeat_02_Fold_02",2,"Fold_02",3,"radial",10,0.01,4,0.13320488218436
"SVM","Repeat_02_Fold_02",2,"Fold_02",4,"radial",100,0.01,4,0.14330332975478
"SVM","Repeat_02_Fold_02",2,"Fold_02",5,"radial",0.1,0.1,4,0.170375803804218
"SVM","Repeat_02_Fold_02",2,"Fold_02",6,"radial",1,0.1,4,0.156024153798714
"SVM","Repeat_02_Fold_02",2,"Fold_02",7,"radial",10,0.1,4,0.169381878251101
"SVM","Repeat_02_Fold_02",2,"Fold_02",8,"radial",100,0.1,4,0.163146413324678
"SVM","Repeat_02_Fold_02",2,"Fold_02",9,"radial",0.1,1,4,0.181203632604493
"SVM","Repeat_02_Fold_02",2,"Fold_02",10,"radial",1,1,4,0.154244566507617
"SVM","Repeat_02_Fold_02",2,"Fold_02",11,"radial",10,1,4,0.151308925353753
"SVM","Repeat_02_Fold_02",2,"Fold_02",12,"radial",100,1,4,0.152249581675093
"SVM","Repeat_02_Fold_03",2,"Fold_03",1,"radial",0.1,0.01,4,0.183168115203641
"SVM","Repeat_02_Fold_03",2,"Fold_03",2,"radial",1,0.01,4,0.151410233147171
"SVM","Repeat_02_Fold_03",2,"Fold_03",3,"radial",10,0.01,4,0.155221474295285
"SVM","Repeat_02_Fold_03",2,"Fold_03",4,"radial",100,0.01,4,0.178609440393723
"SVM","Repeat_02_Fold_03",2,"Fold_03",5,"radial",0.1,0.1,4,0.173300765955267
"SVM","Repeat_02_Fold_03",2,"Fold_03",6,"radial",1,0.1,4,0.213952440833064
"SVM","Repeat_02_Fold_03",2,"Fold_03",7,"radial",10,0.1,4,0.225467984113527
"SVM","Repeat_02_Fold_03",2,"Fold_03",8,"radial",100,0.1,4,0.22029432410949
"SVM","Repeat_02_Fold_03",2,"Fold_03",9,"radial",0.1,1,4,0.167756956941804
"SVM","Repeat_02_Fold_03",2,"Fold_03",10,"radial",1,1,4,0.177514185435204
"SVM","Repeat_02_Fold_03",2,"Fold_03",11,"radial",10,1,4,0.166688644901467
"SVM","Repeat_02_Fold_03",2,"Fold_03",12,"radial",100,1,4,0.179118014841209
"SVM","Repeat_02_Fold_04",2,"Fold_04",1,"radial",0.1,0.01,4,0.162610132457371
"SVM","Repeat_02_Fold_04",2,"Fold_04",2,"radial",1,0.01,4,0.134689522508648
"SVM","Repeat_02_Fold_04",2,"Fold_04",3,"radial",10,0.01,4,0.147299508137611
"SVM","Repeat_02_Fold_04",2,"Fold_04",4,"radial",100,0.01,4,0.180498011165384
"SVM","Repeat_02_Fold_04",2,"Fold_04",5,"radial",0.1,0.1,4,0.142514607844266
"SVM","Repeat_02_Fold_04",2,"Fold_04",6,"radial",1,0.1,4,0.120335233197445
"SVM","Repeat_02_Fold_04",2,"Fold_04",7,"radial",10,0.1,4,0.113692803601954
"SVM","Repeat_02_Fold_04",2,"Fold_04",8,"radial",100,0.1,4,0.11049542612021
"SVM","Repeat_02_Fold_04",2,"Fold_04",9,"radial",0.1,1,4,0.242968251839927
"SVM","Repeat_02_Fold_04",2,"Fold_04",10,"radial",1,1,4,0.194721070708294
"SVM","Repeat_02_Fold_04",2,"Fold_04",11,"radial",10,1,4,0.234310950816058
"SVM","Repeat_02_Fold_04",2,"Fold_04",12,"radial",100,1,4,0.151813645752676
"SVM","Repeat_02_Fold_05",2,"Fold_05",1,"radial",0.1,0.01,4,0.186190846065038
"SVM","Repeat_02_Fold_05",2,"Fold_05",2,"radial",1,0.01,4,0.154698516713028
"SVM","Repeat_02_Fold_05",2,"Fold_05",3,"radial",10,0.01,4,0.154964954116734
"SVM","Repeat_02_Fold_05",2,"Fold_05",4,"radial",100,0.01,4,0.163519339355193
"SVM","Repeat_02_Fold_05",2,"Fold_05",5,"radial",0.1,0.1,4,0.163976549756104
"SVM","Repeat_02_Fold_05",2,"Fold_05",6,"radial",1,0.1,4,0.168698470026135
"SVM","Repeat_02_Fold_05",2,"Fold_05",7,"radial",10,0.1,4,0.167998509481887
"SVM","Repeat_02_Fold_05",2,"Fold_05",8,"radial",100,0.1,4,0.159390751515864
"SVM","Repeat_02_Fold_05",2,"Fold_05",9,"radial",0.1,1,4,0.172184822350568
"SVM","Repeat_02_Fold_05",2,"Fold_05",10,"radial",1,1,4,0.183073479968536
"SVM","Repeat_02_Fold_05",2,"Fold_05",11,"radial",10,1,4,0.173995890902509
"SVM","Repeat_02_Fold_05",2,"Fold_05",12,"radial",100,1,4,0.164735182347027
"SVM","Repeat_03_Fold_01",3,"Fold_01",1,"radial",0.1,0.01,4,0.190180875070853
"SVM","Repeat_03_Fold_01",3,"Fold_01",2,"radial",1,0.01,4,0.16656814031841
"SVM","Repeat_03_Fold_01",3,"Fold_01",3,"radial",10,0.01,4,0.179473372981281
"SVM","Repeat_03_Fold_01",3,"Fold_01",4,"radial",100,0.01,4,0.202905272532659
"SVM","Repeat_03_Fold_01",3,"Fold_01",5,"radial",0.1,0.1,4,0.181101967009653
"SVM","Repeat_03_Fold_01",3,"Fold_01",6,"radial",1,0.1,4,0.208979402675631
"SVM","Repeat_03_Fold_01",3,"Fold_01",7,"radial",10,0.1,4,0.196281132001184
"SVM","Repeat_03_Fold_01",3,"Fold_01",8,"radial",100,0.1,4,0.196039135759915
"SVM","Repeat_03_Fold_01",3,"Fold_01",9,"radial",0.1,1,4,0.197897772371476
"SVM","Repeat_03_Fold_01",3,"Fold_01",10,"radial",1,1,4,0.157390767243264
"SVM","Repeat_03_Fold_01",3,"Fold_01",11,"radial",10,1,4,0.151948781702168
"SVM","Repeat_03_Fold_01",3,"Fold_01",12,"radial",100,1,4,0.169995428416257
"SVM","Repeat_03_Fold_02",3,"Fold_02",1,"radial",0.1,0.01,4,0.172318604374279
"SVM","Repeat_03_Fold_02",3,"Fold_02",2,"radial",1,0.01,4,0.148056705389906
"SVM","Repeat_03_Fold_02",3,"Fold_02",3,"radial",10,0.01,4,0.150717539343406
"SVM","Repeat_03_Fold_02",3,"Fold_02",4,"radial",100,0.01,4,0.140089822963482
"SVM","Repeat_03_Fold_02",3,"Fold_02",5,"radial",0.1,0.1,4,0.17361286585193
"SVM","Repeat_03_Fold_02",3,"Fold_02",6,"radial",1,0.1,4,0.171473552846262
"SVM","Repeat_03_Fold_02",3,"Fold_02",7,"radial",10,0.1,4,0.173173277765113
"SVM","Repeat_03_Fold_02",3,"Fold_02",8,"radial",100,0.1,4,0.178473505174635
"SVM","Repeat_03_Fold_02",3,"Fold_02",9,"radial",0.1,1,4,0.208404608324023
"SVM","Repeat_03_Fold_02",3,"Fold_02",10,"radial",1,1,4,0.160207331462959
"SVM","Repeat_03_Fold_02",3,"Fold_02",11,"radial",10,1,4,0.158244063767225
"SVM","Repeat_03_Fold_02",3,"Fold_02",12,"radial",100,1,4,0.172132048833885
"SVM","Repeat_03_Fold_03",3,"Fold_03",1,"radial",0.1,0.01,4,0.174909401126607
"SVM","Repeat_03_Fold_03",3,"Fold_03",2,"radial",1,0.01,4,0.146932343534757
"SVM","Repeat_03_Fold_03",3,"Fold_03",3,"radial",10,0.01,4,0.152776646295753
"SVM","Repeat_03_Fold_03",3,"Fold_03",4,"radial",100,0.01,4,0.150929824151179
"SVM","Repeat_03_Fold_03",3,"Fold_03",5,"radial",0.1,0.1,4,0.164610656985903
"SVM","Repeat_03_Fold_03",3,"Fold_03",6,"radial",1,0.1,4,0.166543671033315
"SVM","Repeat_03_Fold_03",3,"Fold_03",7,"radial",10,0.1,4,0.203060235225644
"SVM","Repeat_03_Fold_03",3,"Fold_03",8,"radial",100,0.1,4,0.214210375023846
"SVM","Repeat_03_Fold_03",3,"Fold_03",9,"radial",0.1,1,4,0.165695654666996
"SVM","Repeat_03_Fold_03",3,"Fold_03",10,"radial",1,1,4,0.164014557963823
"SVM","Repeat_03_Fold_03",3,"Fold_03",11,"radial",10,1,4,0.163489270099161
"SVM","Repeat_03_Fold_03",3,"Fold_03",12,"radial",100,1,4,0.167296805651789
"SVM","Repeat_03_Fold_04",3,"Fold_04",1,"radial",0.1,0.01,4,0.192236020473684
