"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Held_Out_CellID","Held_Out_Occurrence_Probability","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","scale_pos_weight","Best_nrounds","Inner_CV_Logloss","XGB_Seed","QAQC_Status"
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",1,4678,0.24907098710537,0.03,2,1,0.8,0.8,0,25,233,0.193102101900597,7101,"PASS"
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",2,5882,0.0723803266882896,0.03,4,1,0.8,0.8,0,25,146,0.150496165214393,7102,"PASS"
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",3,5972,0.0592872016131878,0.03,4,1,0.8,0.8,0,25,223,0.166466715051613,7103,"PASS"
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",4,5000,0.515608489513397,0.1,2,3,0.8,0.8,0,25,31,0.210083493497223,7104,"PASS"
"XGBoost","Repeat_01_Fold_05",1,"Fold_05",5,6362,0.145670875906944,0.1,2,3,0.8,0.8,0,25,88,0.175219111798259,7105,"PASS"
"XGBoost","Repeat_02_Fold_01",2,"Fold_01",1,4678,0.0393698327243328,0.03,4,3,0.8,0.8,0,25,117,0.201997201782293,7201,"PASS"
"XGBoost","Repeat_02_Fold_02",2,"Fold_02",2,5882,0.497897803783417,0.03,2,1,0.8,0.8,0,25,137,0.178787817193482,7202,"PASS"
"XGBoost","Repeat_02_Fold_03",2,"Fold_03",3,5972,0.406666308641434,0.03,2,1,0.8,0.8,0,25,173,0.144337392130043,7203,"PASS"
"XGBoost","Repeat_02_Fold_04",2,"Fold_04",4,5000,0.251470983028412,0.1,2,3,0.8,0.8,0,25,181,0.129808484397542,7204,"PASS"
"XGBoost","Repeat_02_Fold_05",2,"Fold_05",5,6362,0.0235355533659458,0.1,2,1,0.8,0.8,0,25,69,0.143059137797816,7205,"PASS"
"XGBoost","Repeat_03_Fold_01",3,"Fold_01",1,4678,0.0252035316079855,0.1,4,1,0.8,0.8,0,25,108,0.127894701960031,7301,"PASS"
