"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","scale_pos_weight","Best_Iteration","Inner_CV_Logloss"
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",1,0.03,2,1,0.8,0.8,0,25,233,0.193102101900597
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",2,0.1,2,1,0.8,0.8,0,25,84,0.214898966700555
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",3,0.03,4,1,0.8,0.8,0,25,107,0.216412351538356
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",4,0.1,4,1,0.8,0.8,0,25,99,0.200897605176299
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",5,0.03,2,3,0.8,0.8,0,25,130,0.240263979953642
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",6,0.1,2,3,0.8,0.8,0,25,75,0.206724739476788
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",7,0.03,4,3,0.8,0.8,0,25,162,0.199539564496193
"XGBoost","Repeat_01_Fold_01",1,"Fold_01",8,0.1,4,3,0.8,0.8,0,25,31,0.270836827434743
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",1,0.03,2,1,0.8,0.8,0,25,187,0.179811166720286
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",2,0.1,2,1,0.8,0.8,0,25,296,0.202711964890393
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",3,0.03,4,1,0.8,0.8,0,25,146,0.150496165214393
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",4,0.1,4,1,0.8,0.8,0,25,49,0.231053663435607
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",5,0.03,2,3,0.8,0.8,0,25,240,0.240594424289436
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",6,0.1,2,3,0.8,0.8,0,25,84,0.194921700776411
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",7,0.03,4,3,0.8,0.8,0,25,115,0.239526991266757
"XGBoost","Repeat_01_Fold_02",1,"Fold_02",8,0.1,4,3,0.8,0.8,0,25,25,0.242133537773043
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",1,0.03,2,1,0.8,0.8,0,25,215,0.208025241225886
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",2,0.1,2,1,0.8,0.8,0,25,80,0.247966576309409
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",3,0.03,4,1,0.8,0.8,0,25,223,0.166466715051613
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",4,0.1,4,1,0.8,0.8,0,25,165,0.233001480892059
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",5,0.03,2,3,0.8,0.8,0,25,137,0.210610704693513
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",6,0.1,2,3,0.8,0.8,0,25,143,0.174036025777101
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",7,0.03,4,3,0.8,0.8,0,25,109,0.242358745469783
"XGBoost","Repeat_01_Fold_03",1,"Fold_03",8,0.1,4,3,0.8,0.8,0,25,38,0.219248455698387
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",1,0.03,2,1,0.8,0.8,0,25,127,0.2743241249118
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",2,0.1,2,1,0.8,0.8,0,25,53,0.306466656985531
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",3,0.03,4,1,0.8,0.8,0,25,112,0.246013311758781
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",4,0.1,4,1,0.8,0.8,0,25,31,0.254305261330536
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",5,0.03,2,3,0.8,0.8,0,25,177,0.258362423521108
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",6,0.1,2,3,0.8,0.8,0,25,31,0.210083493497223
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",7,0.03,4,3,0.8,0.8,0,25,116,0.267570332695658
"XGBoost","Repeat_01_Fold_04",1,"Fold_04",8,0.1,4,3,0.8,0.8,0,25,32,0.255182304312117
"XGBoost","Repeat_01_Fold_05",1,"Fold_05",1,0.03,2,1,0.8,0.8,0,25,186,0.208958717434703
"XGBoost","Repeat_01_Fold_05",1,"Fold_05",2,0.1,2,1,0.8,0.8,0,25,75,0.282637319799575
"XGBoost","Repeat_01_Fold_05",1,"Fold_05",3,0.03,4,1,0.8,0.8,0,25,183,0.186537501223099
