"np","dist","gamma","dir.hor","dir.ver","id"
262,48.0383585989241,12966.0629770992,0,0,"var1"
490,96.1458788578837,17217.6775510204,0,0,"var1"
1234,126.762572567001,17514.9991896272,0,0,"var1"
1052,186.492728358584,17510.8151140684,0,0,"var1"
1632,221.746080488256,20320.6449142157,0,0,"var1"
1730,278.705447728773,18607.4817919075,0,0,"var1"
2208,322.688840006897,17374.9451992754,0,0,"var1"
2134,382.070907604167,17970.8624648547,0,0,"var1"
2331,425.846077326136,19012.6271986272,0,0,"var1"
2105,481.562934458837,20408.8311163895,0,0,"var1"
2374,523.208747562871,20605.0676074136,0,0,"var1"
2326,579.242610011123,21145.1074806535,0,0,"var1"
2395,624.308333066822,21445.0772442589,0,0,"var1"
2143,679.717657861778,21665.00209986,0,0,"var1"
2128,722.673847260761,20836.8531484962,0,0,"var1"
2133,777.348366610444,22208.8584153774,0,0,"var1"
