"np","dist","gamma","dir.hor","dir.ver","id"
262,48.0383585989241,25363.1583969466,0,0,"var1"
490,96.1458788578837,36701.1989795918,0,0,"var1"
1234,126.762572567001,44150.1130470016,0,0,"var1"
1052,186.492728358584,47859.7343155894,0,0,"var1"
1632,221.746080488256,53040.1044730392,0,0,"var1"
1730,278.705447728773,50962.9430635838,0,0,"var1"
2208,322.688840006897,49211.736865942,0,0,"var1"
2134,382.070907604167,56340.5517806935,0,0,"var1"
2331,425.846077326136,56616.6188331188,0,0,"var1"
2105,481.562934458837,60898.2541567696,0,0,"var1"
2374,523.208747562871,61615.9342881213,0,0,"var1"
2326,579.242610011123,61625.8469475494,0,0,"var1"
2395,624.308333066822,57770.18434238,0,0,"var1"
2143,679.717657861778,45528.9386374242,0,0,"var1"
2128,722.673847260761,37837.5227913534,0,0,"var1"
2133,777.348366610444,28652.6085325832,0,0,"var1"
