"np","dist","gamma","dir.hor","dir.ver","id"
262,48.0383585989241,0.0279862647574293,0,0,"var1"
490,96.1458788578837,0.0410394637217828,0,0,"var1"
1234,126.762572567001,0.0449277848958481,0,0,"var1"
1052,186.492728358584,0.0502030780567148,0,0,"var1"
1632,221.746080488256,0.058997925561884,0,0,"var1"
1730,278.705447728773,0.063377753394161,0,0,"var1"
2208,322.688840006897,0.0658072972252142,0,0,"var1"
2134,382.070907604167,0.0702940351450003,0,0,"var1"
2331,425.846077326136,0.0750405102983689,0,0,"var1"
2105,481.562934458837,0.0783183060017754,0,0,"var1"
2374,523.208747562871,0.0785579480528957,0,0,"var1"
2326,579.242610011123,0.0776454342523409,0,0,"var1"
2395,624.308333066822,0.077369663364549,0,0,"var1"
2143,679.717657861778,0.0745376531946976,0,0,"var1"
2128,722.673847260761,0.072073467673569,0,0,"var1"
2133,777.348366610444,0.0731912988262695,0,0,"var1"
