"np","dist","gamma","dir.hor","dir.ver","id"
262,48.0383585989241,1014.88549618321,0,0,"var1"
490,96.1458788578837,1570.20408163265,0,0,"var1"
1234,126.762572567001,1650.27350081037,0,0,"var1"
1052,186.492728358584,1891.76568441065,0,0,"var1"
1632,221.746080488256,2079.64154411765,0,0,"var1"
1730,278.705447728773,2308.03468208092,0,0,"var1"
2208,322.688840006897,2400.64538043478,0,0,"var1"
2134,382.070907604167,2556.07427366448,0,0,"var1"
2331,425.846077326136,2673.96503646504,0,0,"var1"
2105,481.562934458837,2717.57125890736,0,0,"var1"
2374,523.208747562871,2768.01284751474,0,0,"var1"
2326,579.242610011123,2557.0184866724,0,0,"var1"
2395,624.308333066822,2592.81315240083,0,0,"var1"
2143,679.717657861778,2447.50349976668,0,0,"var1"
2128,722.673847260761,2309.58646616541,0,0,"var1"
2133,777.348366610444,2077.07454289733,0,0,"var1"
