"Fold_ID","Fold_Number","Occurrence_Row","CellID","X","Y","Role","Included_In_Model_Fitting"
"Fold_01",1,1,4678,531950,4418550,"Test",FALSE
"Fold_01",1,2,5882,532050,4418170,"Training",TRUE
"Fold_01",1,3,5972,532280,4418150,"Training",TRUE
"Fold_01",1,4,5000,531980,4418450,"Training",TRUE
"Fold_01",1,5,6362,532039,4418025,"Training",TRUE
"Fold_02",2,1,4678,531950,4418550,"Training",TRUE
"Fold_02",2,2,5882,532050,4418170,"Test",FALSE
"Fold_02",2,3,5972,532280,4418150,"Training",TRUE
"Fold_02",2,4,5000,531980,4418450,"Training",TRUE
"Fold_02",2,5,6362,532039,4418025,"Training",TRUE
"Fold_03",3,1,4678,531950,4418550,"Training",TRUE
"Fold_03",3,2,5882,532050,4418170,"Training",TRUE
"Fold_03",3,3,5972,532280,4418150,"Test",FALSE
"Fold_03",3,4,5000,531980,4418450,"Training",TRUE
"Fold_03",3,5,6362,532039,4418025,"Training",TRUE
"Fold_04",4,1,4678,531950,4418550,"Training",TRUE
"Fold_04",4,2,5882,532050,4418170,"Training",TRUE
"Fold_04",4,3,5972,532280,4418150,"Training",TRUE
"Fold_04",4,4,5000,531980,4418450,"Test",FALSE
"Fold_04",4,5,6362,532039,4418025,"Training",TRUE
"Fold_05",5,1,4678,531950,4418550,"Training",TRUE
"Fold_05",5,2,5882,532050,4418170,"Training",TRUE
"Fold_05",5,3,5972,532280,4418150,"Training",TRUE
"Fold_05",5,4,5000,531980,4418450,"Training",TRUE
"Fold_05",5,5,6362,532039,4418025,"Test",FALSE
